endpoint,arm,n,seeds,rae_old,rae_new,delta_mean,ci95_lo,ci95_hi,improved_seeds,significant
KSOL,both,50,5,0.4021241097701368,1.3890156733278143,-0.9868915635576775,-2.156878868969577,-0.2041793749447046,0,WORSE
KSOL,both,100,5,0.38742589787204096,9.958516673668296,-9.571090775796256,-25.995703915000085,-0.956273233646793,0,WORSE
KSOL,external,50,5,0.4003930065957868,1.5380346341201527,-1.1376416275243662,-2.2707674257374344,-0.3238804005499431,0,WORSE
KSOL,external,100,5,0.40207627800781703,2.4047571097913574,-2.0026808317835405,-3.162927709093318,-0.8726347579789927,0,WORSE
MBPB,both,50,5,0.12181971169264345,0.16238169553516232,-0.04056198384251887,-0.0709447854330294,-0.017697993766696878,0,WORSE
MBPB,both,100,5,0.1273793405302838,0.15127084268513336,-0.023891502154849566,-0.04803801550187774,-0.00037373145741390317,2,WORSE
MBPB,external,50,5,0.15230122740965069,0.2006228427179549,-0.048321615308304235,-0.0989606220528462,-0.0055781021809141575,1,WORSE
MBPB,external,100,5,0.13266931602354184,0.16863774409835805,-0.03596842807481623,-0.07572890136387042,-0.007473126179672657,1,WORSE
MPPB,both,50,5,0.15210420094796107,0.19536146644870286,-0.04325726550074181,-0.05571065513596111,-0.03080387586552253,0,WORSE
MPPB,both,100,5,0.14360127066467226,0.16680453355978284,-0.023203262895110578,-0.04951975744956329,-0.0006346928558249587,1,WORSE
MPPB,external,50,5,0.17907306517468485,0.22053855879334358,-0.04146549361865877,-0.08449410799315074,-0.005593151003551361,1,WORSE
MPPB,external,100,5,0.15238011991536787,0.17182574871619208,-0.019445628800824215,-0.02829155489410723,-0.008039774482312283,1,WORSE
