endpoint,arm,n,seeds,rae_old,rae_new,delta_mean,ci95_lo,ci95_hi,improved_seeds,significant
KSOL,both,50,5,0.4021241097701368,0.3794795136707528,0.022644596099383973,0.0069983008826520424,0.03798782763132286,4,YES
KSOL,both,100,5,0.38742589787204096,0.4094405271807674,-0.022014629308726462,-0.07052481101739165,0.019890189313780636,2,ns
KSOL,external,50,5,0.4003930065957868,0.38586336358860435,0.014529643007182392,-0.00704378226589365,0.03610306828025843,3,ns
KSOL,external,100,5,0.40207627800781703,0.38071655606376764,0.021359721944049413,0.002449236627178075,0.04085333041998407,5,YES
MBPB,both,50,5,0.12181971169264345,0.1216100700240594,0.0002096416685840652,-0.009958965789653672,0.0106023768497981,3,ns
MBPB,both,100,5,0.1273793405302838,0.1277741828560414,-0.00039484232575759116,-0.016718231333914157,0.016708504477057767,2,ns
MBPB,external,50,5,0.15230122740965069,0.1422485857223214,0.01005264168732926,-0.006198052374357682,0.03166604632856587,4,ns
MBPB,external,100,5,0.13266931602354184,0.12348446381958969,0.009184852203952145,-0.007105561338620714,0.0307222114525049,2,ns
MPPB,both,50,5,0.15210420094796107,0.13429002655885355,0.017814174389107505,0.0034859489249735006,0.03252539739631331,4,YES
MPPB,both,100,5,0.14360127066467226,0.13070193566618593,0.012899334998486344,-0.006569368910089524,0.03345677497277235,3,ns
MPPB,external,50,5,0.17907306517468485,0.17836770177113812,0.0007053634035467049,-0.008311236470859457,0.012070410685668703,2,ns
MPPB,external,100,5,0.15238011991536787,0.15801938003705635,-0.005639260121688472,-0.011471843292677048,0.00011205535913616504,1,ns
