endpoint,arm,n,rae_range_normalized,rae_vs_mean,rae_official
KSOL,baseline,100,0.42719712853914704,1.3359633268523639,0.42719712853914704
KSOL,baseline,25,0.4135947412574513,1.293424907579437,0.4135947412574513
KSOL,baseline,50,0.4240216345111274,1.3260326805940892,0.4240216345111274
KSOL,both,100,9.958516673668296,31.143030177576385,9.958516673668296
KSOL,both,25,0.7926808365351914,2.4789317548341763,0.7926808365351914
KSOL,both,50,1.3890156733278143,4.343835377205852,1.3890156733278143
KSOL,external,100,2.4047571097913574,7.5203391924820435,2.4047571097913574
KSOL,external,25,0.5785937897110917,1.8094224716393748,0.5785937897110917
KSOL,external,50,1.538034634120153,4.809858796663296,1.538034634120153
MBPB,baseline,100,0.14634318471829913,0.8697667215764703,0.14634318471829913
MBPB,baseline,25,0.16489161674211725,0.9800062858089618,0.16489161674211725
MBPB,baseline,50,0.1468443228615774,0.8727451539563251,0.1468443228615774
MBPB,both,100,0.15127084268513336,0.8990534486838081,0.15127084268513336
MBPB,both,25,0.15016270486238006,0.8924674132424839,0.15016270486238006
MBPB,both,50,0.16238169553516232,0.9650889806827226,0.16238169553516232
MBPB,external,100,0.16863774409835805,1.0022707794751167,0.16863774409835805
MBPB,external,25,0.1890738799636426,1.1237296019508947,0.1890738799636426
MBPB,external,50,0.2006228427179549,1.1923689683263272,0.2006228427179549
MPPB,baseline,100,0.17363388412108932,0.9785018489590442,0.17363388412108932
MPPB,baseline,25,0.18103552546726792,1.0202132912805022,0.18103552546726792
MPPB,baseline,50,0.17028065143030224,0.9596049360406139,0.17028065143030224
MPPB,both,100,0.16680453355978284,0.9400155121172815,0.16680453355978284
MPPB,both,25,0.1836962355788771,1.0352075406859806,0.1836962355788771
MPPB,both,50,0.1953614664487029,1.1009461494398942,0.1953614664487029
MPPB,external,100,0.17182574871619208,0.9683122258574475,0.17182574871619208
MPPB,external,25,0.2056671872737396,1.1590233325496242,0.2056671872737396
MPPB,external,50,0.22053855879334358,1.2428299271100576,0.22053855879334358
