endpoint,arm,n,rae_range_normalized,rae_vs_mean,rae_official
KSOL,baseline,100,0.42719712853914704,1.3359633268523639,0.42719712853914704
KSOL,baseline,25,0.4135947412574513,1.293424907579437,0.4135947412574513
KSOL,baseline,50,0.4240216345111274,1.3260326805940892,0.4240216345111274
KSOL,both,100,0.4094405271807675,1.2804335336033952,0.4094405271807675
KSOL,both,25,0.36132278987178856,1.1299560885987037,0.36132278987178856
KSOL,both,50,0.3794795136707528,1.1867371751527087,0.3794795136707528
KSOL,external,100,0.38071655606376764,1.1906057481379273,0.38071655606376764
KSOL,external,25,0.3724610561795926,1.1647885214917486,0.3724610561795926
KSOL,external,50,0.38586336358860435,1.2067012357809808,0.38586336358860435
MBPB,baseline,100,0.14634318471829913,0.8697667215764703,0.14634318471829913
MBPB,baseline,25,0.16489161674211725,0.9800062858089618,0.16489161674211725
MBPB,baseline,50,0.1468443228615774,0.8727451539563251,0.1468443228615774
MBPB,both,100,0.1277741828560414,0.7594049038821764,0.1277741828560414
MBPB,both,25,0.11591073061200567,0.6888964207933584,0.11591073061200567
MBPB,both,50,0.1216100700240594,0.7227695100329812,0.1216100700240594
MBPB,external,100,0.12348446381958969,0.7339096622007767,0.12348446381958969
MBPB,external,25,0.13936315562495993,0.8282820632187322,0.13936315562495993
MBPB,external,50,0.1422485857223214,0.8454311438605883,0.1422485857223214
MPPB,baseline,100,0.17363388412108932,0.9785018489590442,0.17363388412108932
MPPB,baseline,25,0.18103552546726792,1.0202132912805022,0.18103552546726792
MPPB,baseline,50,0.17028065143030224,0.9596049360406139,0.17028065143030224
MPPB,both,100,0.1307019356661859,0.7365617970205586,0.1307019356661859
MPPB,both,25,0.1441402943052999,0.812292745745852,0.1441402943052999
MPPB,both,50,0.13429002655885355,0.7567822372329075,0.13429002655885355
MPPB,external,100,0.15801938003705635,0.8905073817837916,0.15801938003705635
MPPB,external,25,0.17011809451868418,0.9586888577107159,0.17011809451868418
MPPB,external,50,0.17836770177113812,1.0051789537571918,0.17836770177113812
