target_endpoint,n_label,arm,method_group,source,role,valid_seeds,rae_mean,rae_std,mae_mean,rmse_mean,r2_mean,spearman_mean,baseline_rae,lift_vs_baseline
HLM CLint,50,intra_task,All intra-task,all other ExpansionRx endpoints,intra_task,3,0.10376935933901343,0.013527770302780396,28.173381060542145,51.921369599939446,-0.49931381942633135,0.3865909376533098,0.10549530909822734,0.016360440800328495
HLM CLint,50,baseline,Baseline,target only,baseline,3,0.10549530909822734,0.004966145627217566,28.64197642016872,49.03012941198643,-0.2827911376235326,0.33393336094133597,0.10549530909822734,0.0
HLM CLint,50,domain_selected,Domain-selected source,MLM CLint,selected,3,0.1008789520735363,0.0036224255749631,27.388635487965107,47.890810611148346,-0.2275255220728584,0.3982194176039075,0.10549530909822734,0.043758884296862186
HLM CLint,full,intra_task,All intra-task,all other ExpansionRx endpoints,intra_task,3,0.09581660683744188,0.0014995245232521542,26.014208756365473,45.364140012420386,-0.09901186937432827,0.47675617249983676,0.08498631040856852,-0.1274357761480303
HLM CLint,full,baseline,Baseline,target only,baseline,3,0.08498631040856852,0.00205754641232443,23.073783275926356,39.65837147489959,0.16234108132459438,0.5657315987665038,0.08498631040856852,0.0
MBPB,50,intra_task,All intra-task,all other ExpansionRx endpoints,intra_task,3,0.13046786856523948,0.016508963561631396,4.155401613802877,6.674691482974278,-0.03188573468598299,0.7047458917078622,0.14721079879111929,0.1137343888041578
MBPB,50,baseline,Baseline,target only,baseline,3,0.14721079879111929,0.0007084342739978058,4.68866394149715,7.04775441353582,-0.1468755677579665,0.5603002612516018,0.14721079879111929,0.0
MBPB,50,domain_selected,Domain-selected source,MPPB,selected,3,0.1295421477054195,0.0088944808190973,4.1259174044176135,6.455355353441273,0.0361735974195159,0.7004061508319817,0.14721079879111929,0.12002279201521238
MBPB,full,intra_task,All intra-task,all other ExpansionRx endpoints,intra_task,3,0.0975327335747232,0.01481428371614433,3.1064175643549343,5.122449654639623,0.3869649394995651,0.8273952458552117,0.12060332372959026,0.1912931537989334
MBPB,full,baseline,Baseline,target only,baseline,3,0.12060332372959026,0.012656121409577633,3.8412158607874503,6.184801649118076,0.11305833827024432,0.7540583739671658,0.12060332372959026,0.0
MBPB,full,domain_selected,Domain-selected source,MPPB,selected_single,3,0.0948086970934605,0.0050423263995889,3.01965700242672,4.964960540486264,0.4306455067343726,0.818261072587985,0.12060332372959026,0.21387989848409955
Caco-2 Permeability Papp A>B,50,intra_task,All intra-task,all other ExpansionRx endpoints,intra_task,3,0.1393230549330227,0.014478431495970764,5.054640432970063,6.921453652259605,-0.05049635221558139,0.2519002188742063,0.16102265612123054,0.13476116784380132
Caco-2 Permeability Papp A>B,50,baseline,Baseline,target only,baseline,3,0.16102265612123054,0.025979563024537355,5.841901964078243,7.761227728296826,-0.3490020255311996,0.2337022284930664,0.16102265612123054,0.0
Caco-2 Permeability Papp A>B,50,domain_selected,Domain-selected source,Caco-2 Permeability Efflux,selected,3,0.1411032065606527,0.0007335834388877,5.119224334020481,7.202029867089041,-0.1324714686774732,0.2877813348708542,0.16102265612123054,0.12370588114992284
Caco-2 Permeability Papp A>B,full,intra_task,All intra-task,all other ExpansionRx endpoints,intra_task,3,0.14883318051339464,0.015497813077803896,5.399667789025958,7.562711887371364,-0.2560326083886118,0.4900322660055417,0.11027249971261548,-0.349685378505732
Caco-2 Permeability Papp A>B,full,baseline,Baseline,target only,baseline,3,0.11027249971261548,0.0012329532862024467,4.00068628957369,5.871472441709041,0.24912155259861454,0.5552743066447966,0.11027249971261548,0.0
