target_endpoint,n_label,arm,method_group,source_setting,valid_seeds,rae_mean,rae_std,mae_mean,rmse_mean,r2_mean,spearman_mean,baseline_rae,lift_vs_baseline
HLM CLint,50,baseline,Baseline,target only,3,0.10549530909822734,0.004966145627217566,28.64197642016872,49.03012941198643,-0.2827911376235326,0.33393336094133597,0.10549530909822734,0.0
HLM CLint,50,intra_task,All intra-task,all other ExpansionRx endpoints,3,0.10376935933901343,0.013527770302780396,28.173381060542145,51.921369599939446,-0.49931381942633135,0.3865909376533098,0.10549530909822734,0.016360440800328495
HLM CLint,50,external,External only,Biogen HLM auxiliary,3,0.15419895222333854,0.06949448728630572,41.86501552863641,83.79201271542964,-3.8721818164811435,0.27703752254464803,0.10549530909822734,-0.46166643371567295
HLM CLint,50,both,Both internal+external,internal auxiliaries + Biogen HLM,3,0.09924121436491255,0.004271461153813871,26.943989700073757,44.79504180311701,-0.07091906091998475,0.40628822011477145,0.10549530909822734,0.05928315473716048
HLM CLint,50,domain_selected,Domain-selected source,MLM CLint,3,0.1008789520735363,0.0036224255749631,27.388635487965107,47.890810611148346,-0.2275255220728584,0.3982194176039075,0.10549530909822734,0.043758884296862186
HLM CLint,full,baseline,Baseline,target only,3,0.08498631040856852,0.00205754641232443,23.073783275926356,39.65837147489959,0.16234108132459438,0.5657315987665038,0.08498631040856852,0.0
HLM CLint,full,intra_task,All intra-task,all other ExpansionRx endpoints,3,0.09581660683744188,0.0014995245232521542,26.014208756365473,45.364140012420386,-0.09901186937432827,0.47675617249983676,0.08498631040856852,-0.1274357761480303
HLM CLint,full,external,External only,Biogen HLM auxiliary,3,0.0910411151694655,0.005499034677001421,24.717662768509882,43.03729491349525,0.011610533648506874,0.5255474675482525,0.08498631040856852,-0.07124447139531924
HLM CLint,full,both,Both internal+external,internal auxiliaries + Biogen HLM,3,0.08994006230795541,0.007859983693129803,24.418726916609895,42.626241188465904,0.026367222199508194,0.5138040445193124,0.08498631040856852,-0.05828882175931527
Caco-2 Permeability Papp A>B,50,baseline,Baseline,target only,3,0.16102265612123054,0.025979563024537355,5.841901964078243,7.761227728296826,-0.3490020255311996,0.2337022284930664,0.16102265612123054,0.0
Caco-2 Permeability Papp A>B,50,intra_task,All intra-task,all other ExpansionRx endpoints,3,0.1393230549330227,0.014478431495970764,5.054640432970063,6.921453652259605,-0.05049635221558139,0.2519002188742063,0.16102265612123054,0.13476116784380132
Caco-2 Permeability Papp A>B,50,external,External only,TDC Caco2_Wang auxiliary,2,0.19618635392249684,0.03590949854266092,7.117640920308185,10.626399358644864,-1.4861902453478744,0.16548263288989612,0.16102265612123054,-0.21837733054653063
Caco-2 Permeability Papp A>B,50,both,Both internal+external,internal auxiliaries + TDC Caco2_Wang,3,0.13968659293863026,0.005376547870587203,5.0678295918135055,6.53941755197425,0.06717204278108779,0.288813980176938,0.16102265612123054,0.13250348551285115
Caco-2 Permeability Papp A>B,50,domain_selected,Domain-selected source,Caco-2 Permeability Efflux,3,0.1411032065606527,0.0007335834388877,5.119224334020481,7.202029867089041,-0.1324714686774732,0.2877813348708542,0.16102265612123054,0.12370588114992284
Caco-2 Permeability Papp A>B,full,baseline,Baseline,target only,3,0.11027249971261548,0.0012329532862024467,4.00068628957369,5.871472441709041,0.24912155259861454,0.5552743066447966,0.11027249971261548,0.0
Caco-2 Permeability Papp A>B,full,intra_task,All intra-task,all other ExpansionRx endpoints,3,0.14883318051339464,0.015497813077803896,5.399667789025958,7.562711887371364,-0.2560326083886118,0.4900322660055417,0.11027249971261548,-0.349685378505732
Caco-2 Permeability Papp A>B,full,external,External only,TDC Caco2_Wang auxiliary,3,0.14218368666187878,0.029915607826360994,5.158424152092962,7.386087460104469,-0.21814009408316423,0.44007720713771487,0.11027249971261548,-0.28938481518445686
Caco-2 Permeability Papp A>B,full,both,Both internal+external,internal auxiliaries + TDC Caco2_Wang,3,0.1396238083114887,0.0044925497649509144,5.065551765540811,7.13702021234143,-0.11061927875591533,0.49554205086649156,0.11027249971261548,-0.266170701447474
