target_endpoint,source,source_kind,priority,n,n_sort,valid_seeds,rae_mean,rae_std,mae_mean,rmse_mean,r2_mean,spearman_mean,baseline_rae,lift_vs_baseline
Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,internal,high,50,50,3,0.14110320656065276,0.000733583438887755,5.119224334020481,7.202029867089041,-0.1324714686774732,0.2877813348708542,0.16102265612123054,0.1237058811499225
Caco-2 Permeability Papp A>B,LogD,internal,medium,50,50,3,0.17403997846520056,0.012103043491268872,6.3141704187174765,8.316952830565395,-0.5095350584705326,0.10666815715321336,0.16102265612123054,-0.08084155768843827
Caco-2 Permeability Papp A>B,MBPB,internal,low_control,50,50,3,0.16605064947003012,0.024273528994625794,6.024317562772693,8.125595880482708,-0.4430117112248064,0.09593385653817212,0.16102265612123054,-0.031225378278533125
Caco-2 Permeability Papp A>B,baseline,baseline,baseline,50,50,3,0.16102265612123054,0.025979563024537355,5.841901964078243,7.761227728296826,-0.3490020255311996,0.2337022284930664,0.16102265612123054,0.0
Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,internal,high,full,1000000000,3,0.14070995201254413,0.008886239108195302,5.104957059015102,7.073959149623654,-0.09204889624478445,0.4698524157351384,0.11027249971261548,-0.2760203348908624
Caco-2 Permeability Papp A>B,LogD,internal,medium,full,1000000000,3,0.1488164427681853,0.011876854325327155,5.399060543629763,7.369501006932815,-0.18716712626791163,0.46357498336097347,0.11027249971261548,-0.3495335931988515
Caco-2 Permeability Papp A>B,MBPB,internal,low_control,full,1000000000,3,0.15343399981451078,0.026020063003812044,5.566585513270451,7.67132573876669,-0.2982730139000586,0.44629074213435066,0.11027249971261548,-0.3914076511766742
Caco-2 Permeability Papp A>B,baseline,baseline,baseline,full,1000000000,3,0.11027249971261548,0.0012329532862024467,4.00068628957369,5.871472441709041,0.24912155259861454,0.5552743066447966,0.11027249971261548,0.0
HLM CLint,MBPB,internal,low_control,50,50,3,0.18559386176268697,0.1225557866112969,50.38873346856951,107.23586727255174,-8.167558610188633,0.2596358970256025,0.10549530909822734,-0.7592617467936832
HLM CLint,MLM CLint,internal,high,50,50,3,0.10087895207353631,0.003622425574963142,27.388635487965107,47.890810611148346,-0.22752552207285848,0.39821941760390756,0.10549530909822734,0.043758884296862054
HLM CLint,baseline,baseline,baseline,50,50,3,0.10549530909822734,0.004966145627217566,28.64197642016872,49.03012941198643,-0.2827911376235326,0.33393336094133597,0.10549530909822734,0.0
HLM CLint,MBPB,internal,low_control,full,1000000000,3,0.08972667031605978,0.003939175497797501,24.360790990810226,42.69459607176304,0.027578878002666413,0.5106070533812607,0.08498631040856852,-0.055777923346738534
HLM CLint,MLM CLint,internal,high,full,1000000000,3,0.09607067250788259,0.006669641020985589,26.083187585890126,46.893278000461095,-0.18196898733590958,0.4925233976964542,0.08498631040856852,-0.13042526550483735
HLM CLint,baseline,baseline,baseline,full,1000000000,3,0.08498631040856852,0.00205754641232443,23.073783275926356,39.65837147489959,0.16234108132459438,0.5657315987665038,0.08498631040856852,0.0
MBPB,HLM CLint,internal,low_control,50,50,3,0.1516461922596957,0.010306155511618027,4.829931223471308,7.2358047565683945,-0.21299312554954022,0.47784318242674906,0.14721079879111929,-0.030129538763456403
MBPB,MGMB,internal,high,50,50,0,,,,,,,0.14721079879111929,
MBPB,MPPB,internal,high,50,50,3,0.12954214770541958,0.008894480819097406,4.1259174044176135,6.455355353441273,0.03617359741951598,0.7004061508319817,0.14721079879111929,0.12002279201521182
MBPB,baseline,baseline,baseline,50,50,3,0.14721079879111929,0.0007084342739978058,4.68866394149715,7.04775441353582,-0.1468755677579665,0.5603002612516018,0.14721079879111929,0.0
MBPB,HLM CLint,internal,low_control,full,1000000000,3,0.10117529087440902,0.013053970249727846,3.2224330143499276,5.237103372026193,0.3623187093690063,0.8125192503921622,0.12060332372959026,0.16109036015244194
MBPB,MGMB,internal,high,full,1000000000,3,0.09696023734586079,0.004371779501609311,3.088183559465666,5.116319432596623,0.3955305328427261,0.8016202744488264,0.12060332372959026,0.1960400895479516
MBPB,MPPB,internal,high,full,1000000000,3,0.09480869709346058,0.005042326399588958,3.01965700242672,4.964960540486264,0.4306455067343726,0.818261072587985,0.12060332372959026,0.21387989848409888
MBPB,baseline,baseline,baseline,full,1000000000,3,0.12060332372959026,0.012656121409577633,3.8412158607874503,6.184801649118076,0.11305833827024432,0.7540583739671658,0.12060332372959026,0.0
